d_id,d_name,description,symptoms,precautions
1,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,[1]Chills [2]Vomiting [3]High_Fever [4]Sweating [5]Headache [6]Nausea [7]Diarrhoea [8]Muscle_Pain,[1]Consult nearest hospital. [2]Avoid oily food. [3]Avoid non veg food. [4]Keep mosquitoes out.
2,Hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,[1]Joint Pain. [2]Vomiting. [3]Yellowish Skin. [4]Dark Urine. [5]Nausea. [6]Loss of Appetite. [7]Abdominal Pain. [8]Diarrhoea. [9]Mild Fever. [10]Yellowing of Eyes. [11]Muscle Pain.,[1]Consult nearest hospital. [2]Wash hands through [3]Avoid fatty spicy food [4]Medication
3,Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",[1]Fatigue. [2]Weight Loss. [3]Restlessness. [4]Lethargy. [5]Irregular Sugar Level. [6]Blurred and Distorted Vision. [7]Obesity. [8]Excessive Hunger. [9]Increased Appetite. [10]Polyuria,[1]Have Balanced Diet. [2]Do Exercises. [3]Consult doctor. [4]Follow up Sugar Level.
4,Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",[1]Headache. [2]Chest Pain. [3]Dizziness. [4]Loss of Balance. [5]Lack of Concentration,[1]Meditation. [2]Salt Baths. [3]Reduce Stress. [4]Get proper sleep.
5,Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",[1]Continuous Sneezing. [2]Chills. [3]Fatigue. [4]Cough. [5]High Fever. [6]Headache. [7]Swelled lymph nodes. [8]Malaise. [9]Phlegm. [10]Throat Irritation. [11]Redness of Eyes. [12]Sinus Pressure. [13]Runny Nose. [14]Congestion. [15]Chest Pain. [16]Loss of Smell. [17]Muscle Pain,[1]Drink Vitamin 'C' rich drinks. [2]Take Vapour. [3]Avoid Cold Food. [4]Keep Fever in check.
6,AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",[1]Muscle Wasting. [2]Patches in throat. [3]High Fever. [4]Extra Material Contacts,[1]Avoid open cuts. [2]Wear PPE if possible. [3]Consult Doctor. [4]Follow up.
7,Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",[1]Chills. [2]Vomiting. [3]Fatigue. [4]High Fever. [5]Headache. [6]Nausea. [7]Constipation. [8]Abdominal Pain. [9]Diarrhoea. [10]Toxic look (Typhos). [11]Belly Pain,[1]Eat High Calorie Vegetables. [2]Antibiotic therapy. [3]Consult Doctor. [4]Medication
8,Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",[1]Fatigue. [2]Yellowish Skin. [3]Nausea. [4]Loss of Appetite. [5]Yellowing of Eyes. [6]Family History,[1]Consult nearest hospital. [2]Eat healthy food. [3]Vaccination. [4]Medication
9,Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",[1]Vomiting. [2]Breathlessness. [3]Sweating. [4]Chest Pain,[1]Call Ambulance. [2]Chew or Swallow Aspirin. [3]Keep calm.
10,Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",[1]Acidity. [2]Indigestion. [3]Headache. [4]Blurred and distorted vision. [5]Excessive Hunger. [6]Stiff Neck. [7]Depression. [8]Irritability. [9]Visual Disturbances,[1]Meditation. [2]Reduce stress. [3]Use polaroid glasses in sun. [4]Consult Doctor
